Time	FWHM(avg)	Strehl(avg)	Max(avg)
2011              5              8             23             18          50.64	1.2	0	64
2011              5              8             23             18         50.937	2.4	0	85
2011              5              8             23             18         51.218	1.9	0	97
2011              5              8             23             18         51.515	2.7	0	104
2011              5              8             23             18         51.812	2.8	0	109
2011              5              8             23             18         52.093	3.1	0	112
2011              5              8             23             18         52.359	3.2	0	114
2011              5              8             23             18         52.656	3.2	0	115
2011              5              8             23             18         52.937	3.3	0	116
2011              5              8             23             18         53.218	3.7	0	130
2011              5              8             23             18           53.5	3.6	0	131
2011              5              8             23             18         53.781	3.3	0	131
2012              2              6             18             44         12.843	0.4	0	31
2012     2     6    18    44    13	0.4	0	37
2012              2              6             18             44         13.109	0.5	0	39
